
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;333;1074;1269;4001,5;;2179;88;1797;148;3463;377;499;1085;254;254;444;594;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;333;1074;589;175;;235;88;251;148;602;377;499;336;;;;594;;;
Жешарт;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;20;12;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;681;607;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1582;1430;1157;1098,05;1026;249;310;400;2400;200;3700;1800;0;1300;800;120;250;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1582;1430;1157;427;774;249;310;400;100;200;;;0;1300;800;120;250;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Вымского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;23;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;554;;;;;;;;;;;;;;;;;;
Айкино;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;33;8;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;379;385;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;2437;2174;1312;730,5;2457;639;670;568;1418,7;1400;550;700;739;1300;1300;1300;1077;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;749;864;1312;552;295;639;670;568;410,5;1400;550;700;739;1300;1300;1300;1077;;;
Вежайка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;5;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;1;3;;;;;;;;;;;;;;;;;;
Гам;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;1;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;19;12;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;160;321;48;106;253;64;;;;68;;77;69;80;180;90;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;160;321;48;106;253;64;;;;68;;77;69;80;180;90;;;
Донаёль;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;1;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;26;25;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;0;0;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;;;0;0;;;;;;
Илья-Шор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;8;11;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;88;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;88;;;;;;;;;;;;;;
Кожмудор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;8;4;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;22;21;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;122;61;990;91,9;96;134;117;;76;234;;;;;158;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;122;61;990;91,9;96;134;117;;76;234;;;;;158;;;;;
Мадмас;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;6;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;15;12;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;460;;;;;;;73;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;460;;;;;;;73;;;;;;;;;;
Межег;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;30;30;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;372;;;;;;56;56;100,7;101;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;372;;;;;;56;56;100,7;101;;;;;;;;
Студенец;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;5;2;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;166;635;;540;128;160;228;237;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;166;635;;540;128;160;228;237;;;;;;;;;;;
Усть-Вымь;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;56;53;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;185;86;1048;198,4;79;;251;166;105;231;391;;391;249;249;550;207;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;185;86;1048;198,4;79;;251;166;105;231;391;;391;249;249;550;207;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;28;21;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;378;599;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;413;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1209;3284;5058;2864;3064;3367;3057;4429;3551;4156;4601;4388;2801;9471;8394;7593;4939;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1209;3284;5058;2864;3064;2967;3057;4429;2751;4156;4118;3712;2422;9226;7862;7293;4244;5096;6616;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;6676;7029;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Куломского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;21;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;599;;;;;;;;;;;;;;;;;;
Аныб (до 1 января 2018г);;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;60;;;;;;;86;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;60;;;;;;;86;;;;;;;;;
Вольдино;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;105;;301;114;299;118;103;110;219;129;;;;135;135;59;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;105;;301;114;299;118;103;110;219;129;;;;135;135;59;;;
Нижний Воч;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;64;;42;86;78;;131;;62;85,4;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;64;;42;86;78;;131;;62;85,4;;;;;;;;;
Диасёръя;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;150;;;53;;75;;59;;69;69;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;150;;;53;;75;;59;;69;69;;;;;;;
Деревянск;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;101;70;;83;41;;104;104;87;24;284;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;101;70;;83;41;;104;104;87;24;284;;;;;;;;
Дон;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;64;;33;;;55;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;64;;33;;;55;;;;;;;;;;;;
Кебанъёль;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;77;133;;122;129;;80;;;102;0;0;0;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;77;133;;122;129;;80;;;102;0;0;0;;;;;;
Керчомъя;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;271;31;52;52;194;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;271;31;52;52;194;;;;;;;;;;;;;
Кужба;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;152;;166;35;;65;;;;200;0,2;100;100;0;270;250;210;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;152;;166;35;;65;;;;200;0,2;51;100;0;270;250;210;;;
Мыёлдино;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;80;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;80;;;;;;;;;
Носим (до 1 января 2018г);;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;64;89;;;58;105;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;64;89;;;58;105;;;;;;;;;;;;
Парч;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;35;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;35;;;;;;;;;;;;;;
Пожег;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;9;;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;27;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;821;413;276;360;175;146;568;113;366;104;61;244;0;;453;453;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;821;413;276;360;175;146;568;113;366;104;61;244;0;;453;453;;;
Помоздино;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;15;;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;33;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;178;314;523;590;420;436;423;460;590;467;160;0;0;0;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;178;314;523;590;420;436;423;460;590;467;160;0;0;0;;;;;;
Зимстан;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;54;;;170;;;;;;;;;;300;300;109;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;54;;;170;;;;;;;;;;300;300;109;;;
Руч;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;81;565;;123;;239;246;106;54,1;;;;;;;64;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;81;565;;123;;239;246;106;54,1;;;;;;;64;;;
Тимшер;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;49;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;114;;;;;;0,11;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;114;;;;;;0,11;;;;;;;;;
Усть-Кулом;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;21;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;216;599;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;646;1288;2055;1440;1297;1798;1170;2188;2188;2188;247;247;247;2800;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;646;1288;2055;1440;1297;1398;1170;2188;2188;2188;247;247;247;2800;;;;;;
Усть-Нем;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;41;;;122;163;114;161;228,3;237;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;41;;;122;163;114;161;228,3;237;;;;;;;;;
Югыдъяг;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;53;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;233;379;543;;90;84;546;200;61;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;233;379;543;;90;84;546;200;61;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;26;47;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;388;397;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;154;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1015;3823;4630;3266;3401;4165;2557;2097;1610;2663;1421,9;2063;556;5132;5307;2212;3080;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1015;3823;3273;3266;3401;3883;2258;1917;1610;2663;1421,9;2063;556;4843;5307;2212;3080;1433;3555;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;1433;3709;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Усть-Цилемского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;47;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;397;;;;;;;;;;;;;;;;;;
Среднее Бугаево;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;3;7;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;69;;;;;48;105;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;69;;;;;48;105;;;
Ёрмица;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;13;5;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;120;;;;;;;;;;;117;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;120;;;;;;;;;;;117;;;;;;;;
Коровий Ручей;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;5;16;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;80;637;1442;300;654,6;593;389;451;687;74;577,9;83;92;100;1126;110;555;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;80;637;599;300;654,6;311;389;451;687;74;577,9;83;92;100;1126;110;555;;;
Нерица;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;0;2;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;234;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;;;0;0;;;;;;
Новый Бор;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;10;12;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;14;14;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;72;;;;;;;;;;;;;;136;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;72;;;;;;;;;;;;;;136;;;;;
Окунев Нос;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;7;9;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;196;;;;;;85;;;;;;;;506;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;196;;;;;;85;;;;;;;;506;;;;;
Замежная;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;9;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;37;29;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;80;;298;1219;1010;1589;;55;199;164;75;200;120;130;319;236;200;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;80;;298;1219;1010;1589;;55;199;164;75;200;120;130;319;236;200;;;
Усть-Цильма;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;6;15;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;296;306;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;1700;3101;2578;1626;1339;1529;2009;1410;724;2372;398;1329;344;2385;2043;72;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;1700;3101;2064;1626;1339;1529;1710;1230;724;2372;398;1329;344;2385;2043;72;;;;
Хабариха;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;5;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;8;6;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;63;;150;74;181;;53;120;225;;100;385;;100;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;63;;150;74;181;;53;120;225;;100;385;;100;;;
Трусово;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;4;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;5;3;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;150;85;312;58;397;304;;;;;182;109;0;0;463;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;150;85;312;58;397;304;;;;;182;109;0;0;463;;;;;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;;;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;1080;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;19517;;;;;;;;;;;;;;;;;;
Сыктывкар;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
