
значение показателя за год
;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Число телефонизированных объектов социальной сферы, единица;674;;;;;;;;;;
Воркута (до 1 января 2025 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;15;1;1;1;1;1;1;1;5;3;
Число телефонизированных сельских населенных пунктов, единица;1;1;1;1;1;1;1;1;5;1;
Число телефонизированных объектов социальной сферы, единица;158;;;;;;;;;;
Вуктыл (до 1 января 2024 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;;;;10;10;10;10;10;10;6;
Число телефонизированных сельских населенных пунктов, единица;;;;10;10;10;10;10;10;10;
Инта (до 1 января 2025 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;12;12;12;22;22;22;22;22;13;13;
Число телефонизированных сельских населенных пунктов, единица;13;13;13;22;22;22;22;22;14;8;
Число телефонизированных объектов социальной сферы, единица;117;;;;;;;;;;
Усинск (до 1 января 2024 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;13;13;15;15;10;15;15;15;15;16;
Число телефонизированных сельских населенных пунктов, единица;13;13;15;15;14;15;15;15;15;15;
Число телефонизированных объектов социальной сферы, единица;65;;;;;;;;;;
Ухта (до 1 марта 2024 года);;;;;;;;;;;
Число сельских населенных пунктов, обслуживаемых почтовой связью, единица;12;12;13;13;13;13;13;13;17;17;
Число телефонизированных сельских населенных пунктов, единица;13;13;13;13;13;13;13;13;17;17;
Число телефонизированных объектов социальной сферы, единица;140;;;;;;;;;;
